"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"ﾏｻｷﾏﾂｼﾏF","MF1305","4","58","ＭＦ－１３０５","ﾌﾞﾗｯｸﾎﾞﾙﾄﾞｰ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","1.00","0.00","0.00","1.00","4981.00","4981","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1306","1","58","ＭＦ－１３０６","ﾍｱﾗｲﾝｶﾞﾝﾒﾀﾙ","プロパー","1","物流部倉庫","002E010","1.00","0.00","0.00","1.00","6434.00","6434","自社","2026/09","1.00","0","0","0","0","0","0","0","0","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1307","1","58","ＭＦ－１３０７","ﾎﾜｲﾄｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","002E010","0.00","0.00","360.00","360.00","6780.00","2440800","自社","2026/09","361.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1307","2","58","ＭＦ－１３０７","ﾍｱﾗｲﾝｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","0.00","0.00","2.00","2.00","6302.00","12604","自社","2026/09","4.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1307","3","58","ＭＦ－１３０７","ﾌﾞﾗｳﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","3.00","340.00","343.00","6974.00","2392082","自社","2026/09","343.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1307","4","58","ＭＦ－１３０７","ｸﾞﾚｰ･ﾈｲﾋﾞｰ","プロパー","1","物流部倉庫","002E010","0.00","0.00","361.00","361.00","6995.00","2525195","自社","2026/09","361.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1308","3","58","ＭＦ－１３０８","ｶﾞﾝﾒﾀﾙ･ﾗｲﾄｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","4.00","0.00","0.00","4.00","6456.00","25824","自社","2026/09","4.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1309","3","57","ＭＦ－１３０９","ﾎﾜｲﾄ/ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","0.00","0.00","371.00","371.00","6032.00","2237872","自社","2026/09","371.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1309","4","57","ＭＦ－１３０９","ﾌﾞﾗｯｸ/ｼｬﾝﾊﾟﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","0.00","460.00","460.00","6787.00","3122020","自社","2026/09","461.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1310","1","57","ＭＦ－１３１０","ｼﾙﾊﾞｰ/ﾌﾞﾗｳﾝｻｻ･ﾌﾞﾗｯｸﾏｰﾌﾞﾙ","プロパー","1","物流部倉庫","002E010","84.00","0.00","1.00","85.00","5759.00","489515","自社","2026/09","86.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1310","2","57","ＭＦ－１３１０","ﾌﾞﾗｳﾝ/ﾌﾞﾗｯｸ･ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","002E010","14.00","0.00","0.00","14.00","5909.00","82726","自社","2026/09","14.00","0","0","0","0","0","0","0","0","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1310","3","57","ＭＦ－１３１０","ｶﾞﾝﾒﾀﾙ･ｼﾙﾊﾞｰ/ﾜｲﾝｻｻ･ｸﾞﾚｰｻｻ","プロパー","1","物流部倉庫","002E010","52.00","1.00","0.00","53.00","6459.00","342327","自社","2026/09","53.00","0","0","0","0","0","0","0","0","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1311","1","58","ＭＦ－１３１１","ﾍｱﾗｲﾝｼｬﾝﾊﾟﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","0.00","319.00","319.00","7340.00","2341460","自社","2026/09","0.00","0.00","1.00","320.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1311","2","58","ＭＦ－１３１１","ﾍｱﾗｲﾝｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","8.00","0.00","332.00","340.00","6890.00","2342600","自社","2026/09","21.00","0.00","1.00","320.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1311","3","58","ＭＦ－１３１１","ｶﾞﾝﾒﾀﾙ･ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","0.00","0.00","300.00","300.00","7240.00","2172000","自社","2026/09","8.00","0.00","1.00","293.00","0.00","0.00","0.00","0.00","0.00","0.00"
